date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-12-01,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Thursday
2022-12-05,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Monday
2022-12-06,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Tuesday
2022-12-07,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Wednesday
2022-12-08,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Thursday
2022-12-12,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Monday
2022-12-13,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Tuesday
2022-12-14,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Wednesday
2022-12-15,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Thursday
2022-12-19,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Monday
2022-12-20,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Tuesday
2022-12-21,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Wednesday
2022-12-27,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,12,Tuesday
